hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,4,159.36,158.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,5,163.10,159.79
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,6,164.46,159.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,7,164.56,159.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,8,164.82,160.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,9,164.07,161.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,10,163.36,161.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,11,162.08,160.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,12,160.32,161.59
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,1,160.26,163.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,2,161.07,163.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,3,163.98,165.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,4,167.29,166.21
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,5,170.30,166.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,6,172.58,167.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,7,173.86,168.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,8,173.37,169.17
